post_id,board,post_title,post_url,insight_id,insight_status,matched_via,action
6a6cc98194e73d44a20bc900,Feature Request,The user needs to be able to access templates from the word-add-in in order to have everything in one place.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-access-templates-from,86,Planned for development,insight_id_field,updated
6a675bbbcc4b88ca302c1094,Feature Request,The user needs a playbook function for contract comparisons and template contracts.,https://noxtua.featurebase.app/p/the-user-needs-a-playbook-function-for-contract-comparisons-and,238,Planned for development,insight_id_field,updated
6a51228903cf284364f9d81f,Feature Request,Matrix analysis source citations,https://noxtua.featurebase.app/p/matrix-analysis-source-citations,367,Planned for development,featurebase_id,updated
6a51228392665376ac410d75,Feature Request,Chat history search,https://noxtua.featurebase.app/p/chat-history-search,361,Identified - JIRA ticket exists,featurebase_id,updated
6a51227dba59b90f02b8faa2,Feature Request,Purpose-adapted output format,https://noxtua.featurebase.app/p/purpose-adapted-output-format,346,Identified - JIRA ticket exists,featurebase_id,updated
6a512278f72a9987c36860ab,Feature Request,AI usage documentation support,https://noxtua.featurebase.app/p/ai-usage-documentation-support,344,Identified - JIRA ticket exists,featurebase_id,updated
6a5122688dc979d466a82046,Feature Request,Knowledge base file structuring,https://noxtua.featurebase.app/p/knowledge-base-file-structuring,341,Identified - JIRA ticket exists,featurebase_id,updated
6a512264ba59b90f02b8ec7e,Feature Request,DMS and API integration,https://noxtua.featurebase.app/p/dms-and-api-integration,340,Identified - JIRA ticket exists,featurebase_id,updated
6a512261ba59b90f02b8e84f,Feature Request,Knowledge base search,https://noxtua.featurebase.app/p/knowledge-base-search,332,Identified - JIRA ticket exists,featurebase_id,updated
6a51225dba59b90f02b8a295,Feature Request,Licence-free document upload,https://noxtua.featurebase.app/p/licence-free-document-upload,329,Identified - JIRA ticket exists,featurebase_id,updated
6a5122595bdcefcb1e77d4d6,Feature Request,Knowledge base metadata,https://noxtua.featurebase.app/p/knowledge-base-metadata,324,Planned for development,featurebase_id,updated
6a5122548dc979d466a70d6f,Feature Request,Knowledge base document overview,https://noxtua.featurebase.app/p/knowledge-base-document-overview,323,Identified - JIRA ticket exists,featurebase_id,updated
6a51224d8dc979d466a6aa7b,Feature Request,Collaborative workflow editing,https://noxtua.featurebase.app/p/collaborative-workflow-editing,304,Identified - JIRA ticket exists,featurebase_id,updated
6a51224703cf284364f8720f,Feature Request,Workflow sharing between users,https://noxtua.featurebase.app/p/workflow-sharing-between-users,300,Identified - JIRA ticket exists,featurebase_id,updated
6a5122418dc979d466a69ff1,Feature Request,Custom workflow creation,https://noxtua.featurebase.app/p/custom-workflow-creation,281,Identified - JIRA ticket exists,featurebase_id,updated
6a51223b8dc979d466a691cf,Feature Request,Additional external data sources,https://noxtua.featurebase.app/p/additional-external-data-sources,276,Identified - JIRA ticket exists,featurebase_id,updated
6a5122375bdcefcb1e76fdfb,Feature Request,Admin usage analytics view,https://noxtua.featurebase.app/p/admin-usage-analytics-view,275,Identified - JIRA ticket exists,featurebase_id,updated
6a51222fba59b90f02b72e4a,Feature Request,Individual drafting style adaptation,https://noxtua.featurebase.app/p/individual-drafting-style-adaptation,268,Identified - JIRA ticket exists,featurebase_id,updated
6a512229f72a9987c36503ef,Feature Request,Lock document sections from AI,https://noxtua.featurebase.app/p/lock-document-sections-from-ai,266,Identified - JIRA ticket exists,featurebase_id,updated
6a5122255bdcefcb1e760a90,Feature Request,Full chat export,https://noxtua.featurebase.app/p/full-chat-export,247,Identified - JIRA ticket exists,featurebase_id,updated
6a5122088dc979d466a50abf,Feature Request,User identity awareness,https://noxtua.featurebase.app/p/user-identity-awareness,223,Identified - JIRA ticket exists,featurebase_id,updated
6a5121f5f72a9987c3649e57,Feature Request,Format templates for documents,https://noxtua.featurebase.app/p/format-templates-for-documents,212,Identified - JIRA ticket exists,featurebase_id,updated
6a5121f06b0eabd446a6996d,Feature Request,Excel and database integration,https://noxtua.featurebase.app/p/excel-and-database-integration,211,Identified - JIRA ticket exists,featurebase_id,updated
6a5121ea6b0eabd446a69714,Feature Request,Customisable working preferences,https://noxtua.featurebase.app/p/customisable-working-preferences,204,Identified - JIRA ticket exists,featurebase_id,updated
6a5121e2ba59b90f02b67712,Feature Request,Source filtering for answers,https://noxtua.featurebase.app/p/source-filtering-for-answers,203,Identified - JIRA ticket exists,featurebase_id,updated
6a5121d6ba59b90f02b661af,Feature Request,Collaborative editing environment,https://noxtua.featurebase.app/p/collaborative-editing-environment,164,Identified - JIRA ticket exists,featurebase_id,updated
6a5121c08dc979d466a46f86,Feature Request,Document version history,https://noxtua.featurebase.app/p/document-version-history,159,Identified - JIRA ticket exists,featurebase_id,updated
6a512199f72a9987c363e191,Feature Request,Reusable clause snippets,https://noxtua.featurebase.app/p/reusable-clause-snippets,150,Planned for development,featurebase_id,updated
