board,post_title,post_url,post_id,upvotes,created,insight_id_on_post,problem,last_seen_in,last_known_status,would_have_qualified
Feature Request,File storage system integration,https://noxtua.featurebase.app/p/file-storage-system-integration,6a5122208dc979d466a51ee2,3,2026-07-10,239,stale insight ID (deleted from insights.json),insights.backup_2026-07-10.json,Planned for development,yes
Feature Request,Template Vorlagen,https://noxtua.featurebase.app/p/template-vorlagen,6a6cb8c9d1a58cde217aa160,1,2026-07-31,,no Insight ID set,,,no
Feature Request,The (non-admin) user needs to be able to create private templates for themselves.,https://noxtua.featurebase.app/p/the-non-admin-user-needs-to-be-able-to-create,6a6ccba695b6184de99d9257,8,2026-07-31,514,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feature Request,"The user needs Swiss court decisions to be chunked and cited at the ""Erwägung"" level rather than by fixed size, matching the court's own reasoning structure.",https://noxtua.featurebase.app/p/the-user-needs-swiss-court-decisions-to-be-chunked-and,6a6ccba48a3d03519feed8c2,2,2026-07-31,513,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feature Request,"The user needs conditional formatting (e.g. colour, bold, flags) in Matrix Analysis cells, triggered by prompt results.",https://noxtua.featurebase.app/p/the-user-needs-conditional-formatting-eg-colour-bold-flags-in,6a6ccb9fd361a8379e2935cd,2,2026-07-31,510,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feature Request,The user needs configurable citation length — shorter inline citations while keeping full-length citations available elsewhere.,https://noxtua.featurebase.app/p/the-user-needs-configurable-citation-length-shorter-inline-citations-while,6a6ccbb94ee14d9752f88e2a,2,2026-07-31,522,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feature Request,"The user needs custom, savable agents (""Gems"") for recurring tasks.",https://noxtua.featurebase.app/p/the-user-needs-custom-savable-agents-gems-for-recurring-tasks,6a6ccbbbae4aea0e96dffa8d,2,2026-07-31,523,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feature Request,The user needs to be able to collapse or minimize the question box so answers get more screen space.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-collapse-or-minimize,6a6ccbb58a3d03519fefc180,2,2026-07-31,520,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feature Request,The user needs to be able to create and use templates in multiple languages without creating a template per language.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-create-and-use,6a6ccbb7f8e5d9da85151d2d,2,2026-07-31,521,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
Feature Request,The user needs to be able to create templates for Matrix Analysis.,https://noxtua.featurebase.app/p/the-user-needs-to-be-able-to-create-templates-for,6a6ccbacd361a8379e29c518,2,2026-07-31,516,stale insight ID (deleted from insights.json),insights.backup_2026-08-07.json,New – Not yet discussed,no
